username,useridentifier,age,city,phonenumber,email
Abbos,2d9a83cd-99b5-45a7-ab39-9d018765ba35,20,Jizzax,977811011,Abbosdev@yandex.com
John,695dc0f0-9eac-498c-a91f-1a1765cc850c,16,Toshkent,977811011,Abbosdev@yandex.com
Deree,3b29400b-8d5b-41db-97e9-fd22463c2729,17,Samarqand,977811011,Abbosdev@yandex.com
Developer,098045cc-5e57-4628-a848-287f4185331b,18,Buxoro,977811011,Abbosdev@yandex.com
Project,e43a4f8a-4849-4566-ac9d-b4a1978d6c53,19,Andijon,977811011,Abbosdev@yandex.com
Pm,f5cd7fbc-3977-4fe5-afea-9f455684404e,20,Tashkent,977811011,Abbosdev@yandex.com
QA,6e339cf4-e4bb-4b26-8e1d-134e6518e8c7,21,Tashkent,977811011,Abbosdev@yandex.com
SF,de466373-9fdc-458f-9ff5-c8c0b96c19fc,22,Tashkent,977811011,Abbosdev@yandex.com
Desginer,2ad94bc0-36fa-42b5-924b-df68ab6edf2c,23,Tashkent,977811011,Abbosdev@yandex.com
Username,135de16c-1cf7-4484-be14-92dbe2d778d5,24,Tashkent,977811011,Abbosdev@yandex.com
User,122132c7-3c1b-49d9-8350-c1f45f5966ce,30,Nukus,977771745,Jaska
Vali,d62ea2ca-0f35-4837-b12c-9d865857a910,24,Toshkent,1824,Add
Ali,a4ca2142-f03a-4351-ac43-c3b27cf16c36,56,Navoiy,596,jkn
